Year,SSB,SSB_novelM_low,SSB_novelM_high,M_type,recruitment
2009,21290.2,21290.2,21290.2,novelM_average,optimizedRec_aimBtrigger
2010,16776.2,16776.2,16776.2,novelM_average,optimizedRec_aimBtrigger
2011,17673.6,17673.6,17673.6,novelM_average,optimizedRec_aimBtrigger
2012,22121.8,22121.8,22121.8,novelM_average,optimizedRec_aimBtrigger
2013,19169.4,19169.4,19169.4,novelM_average,optimizedRec_aimBtrigger
2014,26338.7,26338.7,26338.7,novelM_average,optimizedRec_aimBtrigger
2015,30127.1,30127.1,30127.1,novelM_average,optimizedRec_aimBtrigger
2016,28561.3,28561.3,28561.3,novelM_average,optimizedRec_aimBtrigger
2017,23659.3,23659.3,23659.3,novelM_average,optimizedRec_aimBtrigger
2018,25578.9,25578.9,25578.9,novelM_average,optimizedRec_aimBtrigger
2019,27705.8,27705.8,27705.8,novelM_average,optimizedRec_aimBtrigger
2020,25799,25799,25799,novelM_average,optimizedRec_aimBtrigger
2021,8760.72,8760.72,8760.72,novelM_average,optimizedRec_aimBtrigger
2022,7259.3,7259.3,7259.3,novelM_average,optimizedRec_aimBtrigger
2023,7978.99,7978.99,7978.99,novelM_average,optimizedRec_aimBtrigger
2024,14213.6,14213.6,14213.6,novelM_average,optimizedRec_aimBtrigger
2025,18378.4,18378.4,18378.4,novelM_average,optimizedRec_aimBtrigger
2026,22529.2,22529.2,22529.2,novelM_average,optimizedRec_aimBtrigger
2027,23292.8,23292.8,23292.8,novelM_average,optimizedRec_aimBtrigger
2028,23426.8,23426.8,23426.8,novelM_average,optimizedRec_aimBtrigger
2029,23439.3,23439.3,23439.3,novelM_average,optimizedRec_aimBtrigger
2030,23449.5,23449.5,23449.5,novelM_average,optimizedRec_aimBtrigger
2031,23457.9,23457.9,23457.9,novelM_average,optimizedRec_aimBtrigger
2032,23464.7,23464.7,23464.7,novelM_average,optimizedRec_aimBtrigger
2033,23470.3,23470.3,23470.3,novelM_average,optimizedRec_aimBtrigger
2034,23474.8,23474.8,23474.8,novelM_average,optimizedRec_aimBtrigger
2035,23478.6,23478.6,23478.6,novelM_average,optimizedRec_aimBtrigger
2036,23481.6,23481.6,23481.6,novelM_average,optimizedRec_aimBtrigger
2037,23484.1,23484.1,23484.1,novelM_average,optimizedRec_aimBtrigger
2038,23486.2,23486.2,23486.2,novelM_average,optimizedRec_aimBtrigger
2039,23487.9,23487.9,23487.9,novelM_average,optimizedRec_aimBtrigger
2040,23489.2,23489.2,23489.2,novelM_average,optimizedRec_aimBtrigger
2041,23490.3,23490.3,23490.3,novelM_average,optimizedRec_aimBtrigger
2042,23491.3,23491.3,23491.3,novelM_average,optimizedRec_aimBtrigger
2043,23492,23492,23492,novelM_average,optimizedRec_aimBtrigger
2044,23492.6,23492.6,23492.6,novelM_average,optimizedRec_aimBtrigger
2045,23493.1,23493.1,23493.1,novelM_average,optimizedRec_aimBtrigger
2046,23493.5,23493.5,23493.5,novelM_average,optimizedRec_aimBtrigger
2047,23493.9,23493.9,23493.9,novelM_average,optimizedRec_aimBtrigger
2048,23494.1,23494.1,23494.1,novelM_average,optimizedRec_aimBtrigger
2049,23494.4,23494.4,23494.4,novelM_average,optimizedRec_aimBtrigger
2050,23494.5,23494.5,23494.5,novelM_average,optimizedRec_aimBtrigger
2051,23494.7,23494.7,23494.7,novelM_average,optimizedRec_aimBtrigger
2052,23494.8,23494.8,23494.8,novelM_average,optimizedRec_aimBtrigger
2053,23494.9,23494.9,23494.9,novelM_average,optimizedRec_aimBtrigger
2054,23495,23495,23495,novelM_average,optimizedRec_aimBtrigger
2055,23495.1,23495.1,23495.1,novelM_average,optimizedRec_aimBtrigger
2056,23495.1,23495.1,23495.1,novelM_average,optimizedRec_aimBtrigger
2057,23495.2,23495.2,23495.2,novelM_average,optimizedRec_aimBtrigger
2058,23495.2,23495.2,23495.2,novelM_average,optimizedRec_aimBtrigger
2059,23495.2,23495.2,23495.2,novelM_average,optimizedRec_aimBtrigger
2060,23495.3,23495.3,23495.3,novelM_average,optimizedRec_aimBtrigger
2061,23495.3,23495.3,23495.3,novelM_average,optimizedRec_aimBtrigger
2062,23495.3,23495.3,23495.3,novelM_average,optimizedRec_aimBtrigger
2063,23495.3,23495.3,23495.3,novelM_average,optimizedRec_aimBtrigger
2064,23495.3,23495.3,23495.3,novelM_average,optimizedRec_aimBtrigger
2065,23495.3,23495.3,23495.3,novelM_average,optimizedRec_aimBtrigger
2066,23495.3,23495.3,23495.3,novelM_average,optimizedRec_aimBtrigger
2067,23495.3,23495.3,23495.3,novelM_average,optimizedRec_aimBtrigger
2068,23495.3,23495.3,23495.3,novelM_average,optimizedRec_aimBtrigger
2069,23495.3,23495.3,23495.3,novelM_average,optimizedRec_aimBtrigger
2070,23495.3,23495.3,23495.3,novelM_average,optimizedRec_aimBtrigger
2071,23495.3,23495.3,23495.3,novelM_average,optimizedRec_aimBtrigger
2072,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2073,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2074,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2075,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2076,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2077,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2078,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2079,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2080,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2081,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2082,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2083,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2084,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2085,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2086,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2087,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2088,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2089,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2090,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2091,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2092,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2093,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2094,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2095,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2096,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2097,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2098,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2099,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2100,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2101,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2102,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2103,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2104,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2105,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2106,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2107,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2108,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2109,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2110,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2111,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2112,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2113,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2114,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2115,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2116,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2117,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2118,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2119,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2120,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
2121,23495.4,23495.4,23495.4,novelM_average,optimizedRec_aimBtrigger
