"M_var","low","high","ages","years"
0.216,0.073,0.64,3,2005
0.331,0.111,0.993,4,2005
0.291,0.097,0.874,5,2005
0.264,0.088,0.79,6,2005
0.201,0.201,0.201,7,2005
1.262,0.792,2.011,0,2006
0.573,0.359,0.912,1,2006
0.26,0.078,0.867,2,2006
0.205,0.061,0.683,3,2006
0.303,0.121,0.758,4,2006
0.267,0.107,0.667,5,2006
0.241,0.097,0.603,6,2006
0.201,0.201,0.201,7,2006
1.276,0.813,2.003,0,2007
0.579,0.369,0.909,1,2007
0.231,0.064,0.831,2,2007
0.182,0.05,0.655,3,2007
0.402,0.165,0.977,4,2007
0.353,0.145,0.859,5,2007
0.32,0.131,0.777,6,2007
0.201,0.201,0.201,7,2007
1.204,0.795,1.823,0,2008
0.546,0.361,0.827,1,2008
0.177,0.053,0.593,2,2008
0.14,0.042,0.468,3,2008
0.546,0.244,1.221,4,2008
0.48,0.214,1.074,5,2008
0.434,0.194,0.971,6,2008
0.201,0.201,0.201,7,2008
1.273,0.845,1.919,0,2009
0.578,0.383,0.871,1,2009
0.132,0.045,0.388,2,2009
0.104,0.036,0.306,3,2009
0.677,0.3,1.528,4,2009
0.596,0.264,1.344,5,2009
0.539,0.239,1.216,6,2009
0.201,0.201,0.201,7,2009
1.31,0.876,1.96,0,2010
0.594,0.397,0.889,1,2010
0.138,0.045,0.422,2,2010
0.108,0.035,0.333,3,2010
0.454,0.198,1.043,4,2010
0.399,0.174,0.917,5,2010
0.361,0.157,0.83,6,2010
0.201,0.201,0.201,7,2010
1.344,0.904,1.998,0,2011
0.61,0.41,0.907,1,2011
0.176,0.049,0.629,2,2011
0.139,0.039,0.496,3,2011
0.265,0.12,0.586,4,2011
0.233,0.106,0.515,5,2011
0.211,0.096,0.466,6,2011
0.201,0.201,0.201,7,2011
1.351,0.917,1.992,0,2012
0.613,0.416,0.904,1,2012
0.204,0.056,0.74,2,2012
0.161,0.044,0.583,3,2012
0.29,0.124,0.678,4,2012
0.255,0.109,0.597,5,2012
0.231,0.098,0.54,6,2012
0.201,0.201,0.201,7,2012
1.416,0.966,2.076,0,2013
0.642,0.438,0.942,1,2013
0.23,0.065,0.818,2,2013
0.181,0.051,0.645,3,2013
0.422,0.177,1.005,4,2013
0.371,0.156,0.884,5,2013
0.336,0.141,0.8,6,2013
0.201,0.201,0.201,7,2013
1.502,1.02,2.212,0,2014
0.682,0.463,1.004,1,2014
0.249,0.073,0.847,2,2014
0.196,0.058,0.667,3,2014
0.548,0.249,1.204,4,2014
0.482,0.219,1.059,5,2014
0.436,0.198,0.958,6,2014
0.201,0.201,0.201,7,2014
1.547,1.041,2.3,0,2015
0.702,0.472,1.043,1,2015
0.273,0.08,0.925,2,2015
0.215,0.063,0.729,3,2015
0.586,0.301,1.141,4,2015
0.515,0.265,1.003,5,2015
0.466,0.239,0.907,6,2015
0.201,0.201,0.201,7,2015
1.462,1.011,2.115,0,2016
0.663,0.459,0.96,1,2016
0.254,0.086,0.753,2,2016
0.2,0.068,0.594,3,2016
0.81,0.457,1.437,4,2016
0.713,0.402,1.264,5,2016
0.645,0.364,1.143,6,2016
0.201,0.201,0.201,7,2016
1.551,1.039,2.315,0,2017
0.704,0.471,1.05,1,2017
0.231,0.092,0.583,2,2017
0.182,0.072,0.46,3,2017
1.081,0.677,1.726,4,2017
0.951,0.595,1.518,5,2017
0.86,0.538,1.373,6,2017
0.201,0.201,0.201,7,2017
1.533,1.018,2.309,0,2018
0.696,0.462,1.048,1,2018
0.277,0.117,0.657,2,2018
0.219,0.092,0.518,3,2018
1.269,0.833,1.933,4,2018
1.116,0.732,1.7,5,2018
1.009,0.662,1.538,6,2018
0.201,0.201,0.201,7,2018
1.482,0.978,2.246,0,2019
0.673,0.444,1.019,1,2019
0.387,0.177,0.847,2,2019
0.305,0.139,0.668,3,2019
1.005,0.644,1.57,4,2019
0.884,0.566,1.381,5,2019
0.8,0.512,1.249,6,2019
0.201,0.201,0.201,7,2019
1.364,0.905,2.058,0,2020
0.619,0.41,0.934,1,2020
0.542,0.29,1.015,2,2020
0.428,0.228,0.8,3,2020
1.38,0.924,2.062,4,2020
1.214,0.813,1.814,5,2020
1.098,0.735,1.641,6,2020
0.201,0.201,0.201,7,2020
1.225,0.799,1.878,0,2021
0.556,0.362,0.852,1,2021
0.982,0.602,1.603,2,2021
0.774,0.475,1.263,3,2021
1.278,0.835,1.955,4,2021
1.124,0.735,1.72,5,2021
1.017,0.665,1.556,6,2021
0.201,0.201,0.201,7,2021
1.123,0.702,1.798,0,2022
0.51,0.318,0.816,1,2022
1.442,1.004,2.07,2,2022
1.136,0.791,1.632,3,2022
1.454,0.936,2.258,4,2022
1.279,0.824,1.986,5,2022
1.157,0.745,1.797,6,2022
0.201,0.201,0.201,7,2022
1.063,0.631,1.788,0,2023
0.482,0.286,0.811,1,2023
2.07,1.529,2.803,2,2023
1.632,1.205,2.21,3,2023
1.388,0.851,2.263,4,2023
1.22,0.748,1.99,5,2023
1.104,0.677,1.8,6,2023
0.201,0.201,0.201,7,2023
1.02,0.567,1.835,0,2024
0.463,0.257,0.832,1,2024
1.921,1.254,2.942,2,2024
1.514,0.989,2.319,3,2024
1.258,0.672,2.356,4,2024
1.107,0.591,2.072,5,2024
1.001,0.535,1.874,6,2024
0.201,0.201,0.201,7,2024
