Data,Cod_adult_M_ICES_2024,Cod_juv_M_ICES_2025,Cod_adult_new_min,Cod_juvenile_new_min,Cod_adult_new_max,Cod_juvenile_new_max
1998.916667,23941.3468,37371.90608,22406.42017,18872.24139,17818.47578,46312.20517
1999,23942.98913,37391.56687,22327.60236,18835.25744,17598.36402,46053.0342
1999.083333,23913.75435,37411.31577,22230.75192,18800.19112,17357.8346,45911.93229
1999.166667,23892.46538,37431.29119,22140.89713,18765.20345,17138.5484,45764.8585
1999.25,23877.0929,37451.29493,22056.1534,18730.38254,16936.3354,45610.86946
1999.333333,23866.0276,37471.26406,21975.06873,18695.85265,16748.17672,45449.04585
1999.416667,23858.08022,37491.20487,21896.55453,18661.76009,16571.78656,45278.53594
1999.5,23852.35408,37511.09849,21819.80694,18628.2197,16405.40402,45098.51164
1999.583333,23848.16802,37530.93548,21744.24862,18595.3463,16247.68033,44908.18371
1999.666667,23845.0328,37550.67808,21669.43597,18563.22957,16097.47956,44706.84694
1999.75,23842.62751,37570.28854,21595.10154,18531.94502,15953.89,44493.92281
1999.833333,23840.70044,37589.71337,21521.07386,18501.56501,15816.07892,44268.98903
1999.916667,23839.10215,37608.88021,21447.20979,18472.1509,15683.30015,44031.76311
2000,23837.87512,37627.60658,21375.62674,18441.52706,15561.958,43775.09077
2000.083333,23849.40449,37650.62126,21319.71664,18406.9311,15499.28953,43420.27422
2000.166667,23860.43517,37673.2521,21264.43421,18371.24655,15438.36297,43046.36386
2000.25,23870.89639,37695.49595,21209.66462,18334.5143,15379.88057,42653.85882
2000.333333,23880.77084,37717.33709,21155.32134,18296.7784,15324.04924,42243.81354
2000.416667,23890.08998,37738.72831,21101.34775,18258.0829,15270.66714,41817.75709
2000.5,23898.9183,37759.66334,21047.69507,18218.48286,15219.31451,41377.59649
2000.583333,23907.3502,37780.07923,20994.346,18178.03964,15169.32712,40925.57742
2000.666667,23915.4313,37799.96027,20941.2329,18136.81929,15119.99721,40464.17318
2000.75,23923.24811,37819.28127,20888.3479,18094.90677,15070.53049,39995.96052
2000.833333,23930.85255,37838.04854,20835.63122,18052.36815,15020.25848,39523.48451
2000.916667,23938.25091,37856.24949,20783.08129,18009.27265,14968.58027,39049.25647
2001,23946.01266,37873.3933,20732.04942,17964.2784,14912.59608,38578.02958
2001.083333,23965.23771,37897.20083,20698.53891,17931.60636,14893.28944,38241.41752
2001.166667,23982.43029,37919.72156,20664.09398,17897.05288,14866.46917,37910.24527
2001.25,23998.30145,37940.92401,20629.22744,17860.75009,14832.68339,37586.79357
2001.333333,24013.35302,37960.86167,20594.28854,17822.83014,14792.28893,37273.00111
2001.416667,24027.93895,37979.59433,20559.49909,17783.45191,14745.58814,36970.49407
2001.5,24042.34711,37997.20379,20524.98651,17742.79001,14692.8099,36680.53762
2001.583333,24056.7427,38013.77814,20490.76967,17701.02851,14634.21939,36404.10342
2001.666667,24071.19963,38029.4212,20456.82341,17658.35461,14570.08815,36141.89626
2001.75,24085.80286,38044.23995,20423.09896,17614.95078,14500.7388,35894.28816
2001.833333,24100.59801,38058.28472,20389.55384,17570.97276,14426.65906,35661.30952
2001.916667,24115.63542,38071.61845,20356.12671,17526.53539,14348.44394,35442.69052
2002,24128.75521,38086.39944,20321.64402,17482.87986,14261.05562,35243.54032
2002.083333,24179.93338,38117.19161,20322.33304,17449.68397,14142.80793,35055.84573
2002.166667,24226.89245,38147.69747,20319.65088,17416.61551,14022.06499,34884.13697
2002.25,24270.78709,38177.99882,20314.33218,17383.79403,13899.29722,34727.33849
2002.333333,24312.396,38208.12084,20306.89291,17351.31076,13774.9708,34584.21006
2002.416667,24352.24302,38238.06037,20297.64771,17319.27269,13649.54013,34453.33916
2002.5,24390.6821,38267.87406,20286.73816,17287.78678,13523.45788,34333.28242
2002.583333,24427.92246,38297.63426,20274.30268,17256.9663,13397.20461,34222.51922
2002.666667,24464.0648,38327.46053,20260.36645,17226.94182,13271.22455,34119.53695
2002.75,24499.16572,38357.48816,20244.95778,17197.83446,13145.96616,34022.80612
2002.833333,24533.26143,38387.86502,20228.07982,17169.74963,13021.94084,33930.72501
2002.916667,24566.3472,38418.7736,20209.77505,17142.77856,12899.67304,33841.69614
2003,24599.20801,38449.59093,20191.04396,17116.02616,12785.08948,33748.73753
2003.083333,24685.33137,38502.94157,20215.90076,17106.69129,12620.9712,33830.17169
2003.166667,24767.58801,38556.57223,20238.45137,17097.70251,12478.13837,33905.8544
2003.25,24846.3193,38610.7346,20258.76344,17089.16678,12353.42726,33974.86382
2003.333333,24921.80997,38665.6615,20276.98169,17081.17535,12244.60064,34036.1206
