"ac";"bc"
323384.36813998;22.5504566786896
1.04263384176104;2.52529307058188e-05
3.67581109589278;0.000194800160390912
0.679519277925366;-1.04925822545972e-05
3.88300422607921;0.000281334495493538
899435.60283698;54.1546099087696
1.3291690393012;3.20520385216104e-05
0.565774740508212;1.76584017417143e-05
2.3730870465387;5.99856581871214e-05
2412719.44132518;159.452236368669
0.398476943435745;-4.28629408070398e-05
0.51109266142254;-4.15547593694015e-05
0.605274354401173;5.5672264364617e-06
1.20512824541941;4.10426016719032e-05
1.10569780935249;2.7576750935775e-05
3.94594328236827;0.000133351668783723
1.18798759324162;3.01391660313742e-05
2.9616401973601;0.000324365107010762
0.930873726501256;2.04959143349658e-05
0.463456459323972;-4.09247609027419e-05
854894.131632726;55.465828114223
1.78760860207732;5.66287597169558e-05
1.02346698532244;4.04692575299097e-05
5.20779332119933;0.000524242509105231
1.05260933245744;1.7365054574925e-05
8.16818120819629;0.00068580432119886
7.9240941747146;0.000588200606034933
5.28479840550367;0.000274086007557883
2.89411884427784;0.000154200166084392
1.83964356887826;0.000167429854815889
21.7971835850788;0.00247944770977813
0.720612861333222;-1.09106123265504e-05
0.69556611355787;-9.70457783917236e-06
1.4933835363462;9.60591500881977e-05
4.39737758740712;0.000269056554556269
1.3605244942717;3.37815939755909e-05
0.991979711738822;1.44377364861756e-05
70.1058636844887;0.00576317475442468
7.18967047957509;0.000398933975035462
1.35999216954316;6.81908502638979e-05
2.40556634181905;0.000116069615077941
6.98771997727613;0.000397863964853341
0.678001899883648;-1.97462056247839e-05
3.1670657215425;0.000221152272277301
0.697659667445016;-6.31481233837178e-06
0.6343042303064;-1.65908896283129e-05
8.72658659145348;0.000840456204325596
1.29761087121191;6.41423150639724e-05
1.14190616690827;1.7600262188486e-05
1.07751818580641;3.74262786347355e-05
2.07441803746162;8.01234386223713e-05
0.72308015365426;7.69278941847266e-07
1.10381637049144;5.66466354467166e-05
4.61898177579586;0.000178325262110187
0.502338982594045;-1.08086105537381e-06
1.31743421330814;2.34312054598833e-05
1.39700157457459;5.4763830757552e-05
1.16673628888974;2.99150149852058e-05
1.45331512888738;5.34976607891247e-05
3.25000889637606;0.000114028579114515
1.32497597839515;0.000100245918657366
5412236.61482945;416.474681297282
0.434482780899354;-2.00225893820929e-05
0.911054004648944;3.01266419806997e-05
2.04699317731395;4.71824354529757e-05
5.00030134878725;0.000272926064747354
1.72115786879804;8.3538436430739e-05
538138.35094968;45.2198861394454
14.7986911493828;0.00103142272057091
0.714853921543656;-1.504154384734e-05
15311573.4273435;831.602463491616
0.837446547308094;3.10602775658669e-06
1.24679981971662;5.19668642237719e-05
0.928381543415137;2.67558430795328e-05
3504176.11529499;336.573813499482
15435419.8714645;1285.25564792411
0.666405394563357;1.92888777330728e-05
7.20920588948837;0.000354334127970353
3.09490523329362;0.000247584445291435
1.22282436891227;4.34055188151905e-05
3118863.67879279;314.106817273282
4545639.37914809;250.853506848824
1.79927308948116;7.47610362686061e-05
1.82881662933496;3.32507253706447e-05
1.15183610323162;1.20131257379817e-05
2481038.00496452;195.740048512974
1.25840584839086;2.0632110396146e-05
2.41650685682961;0.000138718712839059
1.74542777253163;6.02867288090559e-05
0.619847101442731;-2.12340227840037e-06
0.507979316268991;2.67302612906975e-06
0.907706124828445;-7.45282227429524e-06
1.5347988948542;3.96283050627986e-05
0.984427137071544;-7.01851720495227e-06
7.17313048413828;0.000514501637393211
0.829825242512159;-1.45221727185408e-05
1.00259270114383;-1.90052408431953e-06
2.53085885608289;9.65657667998566e-05
1.08162048836453;2.25076862284228e-07
1785174.79831836;226.610837375748
1.90398051928098;0.000124866980601854
543617.743791008;42.3240698204534
1.59083761485244;4.23209557060917e-05
2525977.49330776;192.727799708505
6.91807802359368;0.000712825813004468
1.43603755890063;4.80585813691289e-05
0.417719395921124;-4.21782694559545e-05
5.19112375237693;0.000660100690729148
0.887391140326217;3.22202831181112e-05
0.780604416878216;-1.26566152961779e-05
0.922502068331494;-2.67075338172049e-05
2.39433508551733;0.000174455948202147
0.380494632816949;-2.9481664040765e-06
81068.6540249623;8.01617867309514
0.869735342699461;-6.59315316196054e-07
1.13718493463451;-7.44291724825616e-06
0.85621233397738;1.31972263078613e-05
0.655469129964373;-1.46736516008202e-05
22.3191621570888;0.00232898390905369
0.887112050817498;-1.17482825752033e-05
4.9926576087479;0.000347966084367062
4.80332454686236;0.000421282278335718
12.0253886198667;0.00190244477874659
286411.504610594;18.3072284154112
1.2027319387506;2.56183818095468e-05
0.446995753290759;-5.32013834020225e-05
0.908416276539911;1.19074279632599e-05
1.39316637011073;6.06672437190901e-05
8.30579053142623;0.000499974062326259
0.9421734901576;4.95910400284659e-05
0.703011019624709;2.83344300903892e-07
15.6400553327862;0.000788085662435187
0.438960327170308;-2.72265568543421e-05
0.926339096779047;-6.58472304649985e-06
0.7001141512705;-1.77557030040248e-05
1.92381649143894;3.94149284741698e-05
3.7810427263049;0.000139507712263323
0.945133732979944;1.17596649632749e-05
8.30559976202125;0.000499960808197186
0.476856655351375;-2.89337076902637e-05
2.58502188002864;0.00018407905675742
4.5546212077204;0.000306410910194777
0.991422270606603;2.0451996245631e-05
0.460683638086731;-6.84666083439708e-06
0.983393077497637;4.2162975900532e-06
1.00188984086433;3.25196637838522e-05
1.63311486610719;5.09054101942505e-05
0.543682968305781;-4.7204658594704e-06
0.955802335655888;-1.04967329872719e-05
4.32517432915942;0.000199127147463906
0.593818200238711;-1.67731300024203e-05
0.390049924252809;-1.87041564087226e-05
1939085.16873249;91.1764960543047
